dataset,test_fold,n_conv_layers,n_filters,kernel_size,n_dense_layers,n_neurons,n_cv,total_training_time_sec,total_best_val_loss_cv,mean_best_val_loss_cv
systematic,4,2,8,2,2,10,10,18592.668852567676,1.7232707977123427,0.1723270797712342
detailed,4,4,8,2,2,10,10,28680.498740196228,3.443728203912933,0.3443728203912933
detailed,2,2,2,2,2,20,10,18805.617914438248,2.914147508645203,0.2914147508645203
detailed,5,4,2,4,2,20,10,19024.55298113823,2.917557888763483,0.2917557888763483
detailed,4,4,2,2,2,20,10,25539.392986297607,3.418025391887939,0.3418025391887939
detailed,2,2,2,8,2,20,10,18212.754966259003,3.2214029931276347,0.3221402993127634
systematic,3,4,8,8,1,20,10,21383.66406059265,2.468405973363546,0.2468405973363546
detailed,5,2,4,2,1,10,10,20112.15369749069,2.697733185852141,0.2697733185852141
systematic,4,8,8,4,2,10,10,36314.013107061386,2.10612887306842,0.210612887306842
systematic,3,8,8,4,1,20,10,38345.68957185745,2.3968622644929285,0.2396862264492928
systematic,1,8,2,8,1,50,10,32493.505076408383,2.15466018367032,0.2154660183670319
detailed,3,8,4,4,2,20,10,36483.714349508286,2.8840973410481503,0.288409734104815
cancer,2,8,8,4,1,20,10,10515.972625255585,13.996742584673616,1.3996742584673618
detailed,1,2,4,2,2,50,10,23558.59850883484,3.331677035118342,0.3331677035118342
detailed,4,4,8,2,1,20,10,20494.93785905838,3.2515499749320798,0.3251549974932079
systematic,5,4,2,8,2,50,10,16948.376266002655,1.9274717388082396,0.1927471738808239
systematic,1,4,8,4,1,50,10,20630.76277947426,2.661850744676067,0.2661850744676067
systematic,4,4,4,2,2,20,10,21646.549117803574,1.977610235980892,0.1977610235980892
cancer,2,2,8,4,2,50,10,4382.71174287796,13.42174094876224,1.342174094876224
detailed,5,2,8,8,2,20,10,16271.19793844223,4.221093348182332,0.4221093348182331
systematic,2,2,2,2,1,10,10,13127.364349365234,2.285749944968969,0.2285749944968969
systematic,3,8,8,2,2,20,10,48415.55273485184,1.90849105369533,0.190849105369533
systematic,6,2,2,2,2,50,10,17119.4733607769,2.1774450898149764,0.2177445089814976
cancer,2,2,8,4,2,20,10,3532.1402146816254,13.28071117540627,1.328071117540627
detailed,3,8,8,4,1,50,10,58339.45916128159,3.7297403700877134,0.3729740370087713
systematic,4,2,8,8,1,50,10,15467.61260342598,2.83347601818934,0.283347601818934
detailed,2,8,4,2,1,20,10,46044.38330578804,3.069040199680719,0.3069040199680719
systematic,4,8,4,2,1,10,10,32479.82101631165,2.0309556429222324,0.2030955642922232
systematic,1,8,4,4,1,50,10,30304.43535065651,1.7429835950988817,0.1742983595098881
systematic,6,4,2,8,2,20,10,22979.92312026024,2.117268865434015,0.2117268865434015
systematic,2,8,2,4,2,50,10,32071.12483739853,1.346150538673512,0.1346150538673512
detailed,1,2,8,4,2,20,10,18193.4264190197,3.6245355400833272,0.3624535540083327
detailed,2,2,4,4,2,20,10,16021.784208536148,3.1426290181840937,0.3142629018184094
cancer,1,4,2,4,1,10,10,3597.9545228481293,16.223455226971804,1.6223455226971804
systematic,6,8,8,4,2,10,10,48083.01263093949,2.059137274464369,0.2059137274464368
cancer,1,8,8,4,2,10,10,9025.413823604584,18.841816218906278,1.8841816218906275
systematic,6,2,8,8,2,20,10,15155.098419904709,2.7831009448219453,0.2783100944821945
cancer,1,4,2,2,2,10,10,3362.14789390564,15.576380067013693,1.557638006701369
systematic,6,8,2,8,2,50,10,31670.99321532249,1.2640018833858877,0.1264001883385887
systematic,3,2,8,2,1,50,10,20685.67137145996,2.398697025328699,0.2398697025328699
cancer,1,2,8,8,2,10,10,3783.138606548309,17.49476977200659,1.7494769772006589
detailed,1,4,8,4,2,10,10,25613.567306518555,3.7665968353315593,0.3766596835331559
systematic,1,4,2,2,1,50,10,24395.289658546448,2.6208487895167534,0.2620848789516753
cancer,1,2,8,2,1,10,10,4020.116297960282,16.280407153873256,1.6280407153873255
cancer,2,2,2,8,1,10,10,2813.6897280216217,15.118661118836767,1.5118661118836767
systematic,6,8,2,4,1,20,10,27209.875688791275,1.5410253469131845,0.1541025346913184
detailed,1,4,8,2,2,20,10,34869.08542513847,3.204874797941006,0.3204874797941006
cancer,1,2,4,2,2,50,10,2777.611029863357,16.58300207872182,1.6583002078721818
systematic,5,2,4,8,1,10,10,12459.980181217194,2.560695545465699,0.2560695545465699
detailed,6,2,8,2,1,10,10,22007.18586564064,2.8439307931211992,0.2843930793121199
systematic,6,2,4,8,2,50,10,14162.861471414566,2.9850683409309906,0.2985068340930991
systematic,3,8,8,8,1,50,10,47386.6600561142,1.977501645809572,0.1977501645809572
detailed,3,2,8,8,1,10,10,14141.824828147888,4.041203426254734,0.4041203426254734
systematic,1,2,4,4,2,20,10,16221.294371128082,2.3193423351026725,0.2319342335102672
systematic,2,2,4,8,2,20,10,13002.364202976229,2.67123753600771,0.267123753600771
detailed,2,2,2,2,1,10,10,21488.62579631805,2.8304782934489343,0.2830478293448934
systematic,6,4,4,8,2,10,10,17367.910492658615,2.368872080864761,0.2368872080864761
systematic,1,4,2,2,2,10,10,22003.387228012085,1.6810288437287273,0.1681028843728727
systematic,2,4,2,4,2,20,10,22145.635822296143,2.236119128418573,0.2236119128418573
systematic,1,8,4,2,2,50,10,55947.35594058037,1.8051818118381688,0.1805181811838168
detailed,4,8,2,2,1,10,10,37407.78740954399,2.868413753321286,0.2868413753321286
systematic,3,2,4,2,1,50,10,16693.19726204872,2.1595999922244173,0.2159599992224417
detailed,5,4,4,2,2,10,10,27933.655316591263,3.0445080316521973,0.3044508031652197
detailed,1,2,8,2,1,50,10,21515.80555295944,3.650846481123477,0.3650846481123477
systematic,4,2,8,8,2,20,10,14483.919364213943,2.708883975244856,0.2708883975244855
systematic,3,8,8,2,2,50,10,46127.55092382431,2.238448955484216,0.2238448955484216
cancer,1,8,2,4,1,10,10,5735.399849653244,16.23872427594811,1.6238724275948109
cancer,2,2,2,4,2,10,10,3071.818933963776,13.974094571443503,1.3974094571443505
detailed,6,2,2,2,2,10,10,20522.369653701782,3.333861600230797,0.3333861600230797
systematic,3,2,4,8,1,50,10,15363.652765750883,3.0710388756018814,0.3071038875601881
systematic,2,2,2,4,1,50,10,11613.471007347109,2.690877625028808,0.2690877625028807
systematic,1,2,2,4,2,20,10,16461.770135879517,2.251938773841314,0.2251938773841314
systematic,4,4,8,8,2,10,10,23714.394608020782,2.3907598376456143,0.2390759837645614
systematic,5,2,4,8,2,50,10,14609.777189731598,2.943190579945025,0.2943190579945025
systematic,4,8,8,2,2,20,10,48848.6065056324,1.6261349187312644,0.1626134918731264
detailed,1,2,2,2,2,10,10,23792.709273815155,2.9716012843685613,0.2971601284368561
detailed,1,2,8,8,2,50,10,15149.526738166807,4.887858655796265,0.4887858655796265
detailed,6,8,8,2,2,10,10,47054.79044389725,4.216515868610681,0.4216515868610681
systematic,5,4,8,2,1,50,10,25375.479553699493,2.3599322668971374,0.2359932266897137
systematic,3,2,8,2,2,50,10,28835.922426462173,2.65282529592776,0.265282529592776
systematic,6,2,2,4,2,10,10,14643.526619434357,2.0938694101927946,0.2093869410192794
cancer,1,4,8,4,1,20,10,6773.260598421097,16.42524650894345,1.642524650894345
detailed,6,2,2,8,1,10,10,20937.053478717804,3.503870672241104,0.3503870672241104
systematic,3,4,4,2,2,50,10,24788.2418923378,2.643481410763353,0.2643481410763353
cancer,2,2,2,4,1,20,10,2781.17226433754,14.81308339523,1.481308339523
systematic,3,4,4,8,2,10,10,18777.47268795967,2.4609905973983617,0.2460990597398361
cancer,1,8,2,2,1,10,10,5399.283382415772,16.02925340740055,1.602925340740055
detailed,4,8,2,2,2,50,10,34003.23765563965,2.748426986043351,0.2748426986043351
cancer,1,4,8,8,1,20,10,5536.39026427269,17.87677599089584,1.787677599089584
systematic,3,4,8,4,1,10,10,22374.78954410553,2.176476278265751,0.2176476278265751
systematic,1,8,8,8,2,20,10,28993.19371271133,2.011875040559208,0.2011875040559207
systematic,4,2,4,8,1,10,10,12981.321473360062,2.3860656551187795,0.2386065655118779
detailed,2,2,8,4,1,10,10,15001.819560289385,3.4847908785010278,0.3484790878501027
systematic,5,8,8,8,2,20,10,30080.14769053459,1.8705455850704984,0.1870545585070498
detailed,3,2,2,4,2,10,10,18528.623475313187,3.5240510159696643,0.3524051015969664
cancer,2,2,4,2,2,10,10,3761.5399742126474,13.074375121737296,1.3074375121737298
cancer,1,4,2,8,2,50,10,3401.625633239746,15.441851645941414,1.5441851645941411
cancer,1,8,2,2,1,20,10,6418.393388271332,15.80664672043558,1.5806646720435578
systematic,4,4,8,2,2,50,10,26327.44436717033,2.357808346712591,0.2357808346712591
cancer,1,8,4,2,1,50,10,7390.349700689316,16.489150978547443,1.6489150978547442
detailed,5,2,8,2,1,20,10,24571.748767852783,3.2632961300222783,0.3263296130022278
cancer,2,4,2,8,1,10,10,3413.9018070697784,13.803298489523748,1.3803298489523748
systematic,2,8,4,4,2,10,10,34649.67826128006,1.3602792798051957,0.1360279279805195
cancer,2,2,4,4,2,20,10,3997.920240163803,13.402481798922206,1.3402481798922206
systematic,6,2,4,4,1,50,10,14645.38591837883,2.679836165794882,0.2679836165794882
systematic,1,4,8,2,1,10,10,19940.75249004364,1.7956961234673483,0.1795696123467348
systematic,4,8,4,2,1,20,10,39307.81157708168,1.5497364303058418,0.1549736430305842
systematic,6,2,4,4,2,50,10,16093.630828380585,2.80898635161269,0.280898635161269
detailed,5,2,8,4,1,20,10,16749.539888381958,3.994270561519359,0.3994270561519359
detailed,1,2,4,8,1,20,10,16628.334223747253,3.50055678079213,0.350055678079213
cancer,1,4,2,8,1,10,10,4890.041468381882,15.462265905720672,1.5462265905720671
systematic,4,4,4,8,1,50,10,22289.082777500156,3.0265033770558727,0.3026503377055872
systematic,1,8,8,2,1,50,10,42859.22329831123,1.6618546605772724,0.1661854660577272
systematic,2,4,2,2,1,10,10,25557.973571062088,2.34016837866837,0.2340168378668369
systematic,1,2,2,8,1,50,10,15333.194334030151,2.656108913199549,0.2656108913199549
systematic,5,2,8,8,2,50,10,13055.304470062256,3.343615408937951,0.3343615408937951
systematic,6,8,4,4,1,50,10,33906.329498529434,1.6577814185889674,0.1657781418588967
detailed,4,2,4,4,2,20,10,18443.195335388184,3.906568734120192,0.3906568734120191
detailed,3,2,2,2,2,10,10,20418.415345668796,3.3366870119197234,0.3336687011919723
systematic,4,2,4,4,1,20,10,14687.085795640944,2.168107110024399,0.2168107110024399
detailed,6,2,4,2,2,10,10,22054.124586582184,2.969931868325519,0.2969931868325519
systematic,4,2,4,8,2,50,10,13583.454247951508,2.9623676006702,0.29623676006702
systematic,1,2,4,8,1,10,10,13497.40511751175,2.329237597649992,0.2329237597649991
systematic,4,2,2,8,1,20,10,18008.856979846954,1.975314186886508,0.1975314186886508
systematic,4,4,2,4,1,10,10,23050.58655500412,1.7806613290937092,0.1780661329093709
systematic,2,8,8,4,2,50,10,51195.105917453766,1.990629563711852,0.1990629563711852
systematic,4,4,8,8,1,50,10,22637.85654950142,2.753150211710004,0.2753150211710004
detailed,5,2,8,4,2,50,10,19646.77402329445,4.025141006029124,0.4025141006029124
cancer,2,8,4,2,2,50,10,6714.655481338501,13.251373859456942,1.3251373859456943
systematic,3,4,2,4,2,20,10,34589.91340661049,2.4107451214934965,0.2410745121493496
detailed,1,8,4,2,2,10,10,46699.90077328682,2.7428049304519915,0.2742804930451991
systematic,1,4,4,8,1,10,10,15806.203124284744,1.7826799210435125,0.1782679921043512
detailed,4,2,8,2,1,10,10,18503.16885113716,3.534250655823741,0.3534250655823741
cancer,2,2,4,4,2,10,10,3126.7247331142426,12.953749366679912,1.2953749366679914
cancer,2,2,4,4,1,50,10,2991.8990182876587,13.333046045496951,1.3333046045496952
detailed,3,2,8,2,1,50,10,24307.09572720528,3.985974493702072,0.3985974493702071
cancer,2,8,2,4,1,50,10,5131.242728948593,12.81044012326952,1.281044012326952
detailed,6,4,4,4,2,10,10,23010.58646607399,3.199812103901679,0.3199812103901679
detailed,5,2,4,8,1,50,10,13557.282304286957,4.11196774676699,0.411196774676699
detailed,6,2,4,8,2,50,10,15907.688732862473,4.553321105302314,0.4553321105302313
detailed,5,4,2,4,2,10,10,27089.21791434288,3.0298439080503825,0.3029843908050382
cancer,2,2,4,4,1,10,10,2775.256074666977,14.37140019333533,1.4371400193335329
detailed,6,4,8,2,1,20,10,25118.1201646328,3.671396530783269,0.3671396530783269
cancer,2,4,2,2,1,10,10,4299.269500017166,13.651997774441885,1.3651997774441884
